Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
521200,SURYALAXMI,SURYALAKSHMI COTTON MILLS LTD.,24 Jul 2014,Dividend - Rs. - 1.2000,-,28 Jul 2014,04 Aug 2014,21 Jul 2014,25 Jul 2014,-
530239,SUVEN,SUVEN LIFE SCIENCES LTD.,24 Jul 2014,Dividend - Rs. - 0.5000,-,26 Jul 2014,29 Jul 2014,21 Jul 2014,24 Jul 2014,-
530239,SUVEN,SUVEN LIFE SCIENCES LTD.,24 Jul 2014,Dividend - Rs. - 0.5000,-,26 Jul 2014,29 Jul 2014,21 Jul 2014,24 Jul 2014,11 Sep 2014
530239,SUVEN,SUVEN LIFE SCIENCES LTD.,24 Jul 2014,Special Dividend - Rs. - 2.0000,-,26 Jul 2014,29 Jul 2014,21 Jul 2014,24 Jul 2014,-
530239,SUVEN,SUVEN LIFE SCIENCES LTD.,24 Jul 2014,Special Dividend - Rs. - 2.0000,-,26 Jul 2014,29 Jul 2014,21 Jul 2014,24 Jul 2014,11 Sep 2014
532390,TAJGVK,TAJGVK HOTELS & RESORTS LTD.,24 Jul 2014,Dividend - Rs. - 0.2000,-,28 Jul 2014,01 Aug 2014,21 Jul 2014,25 Jul 2014,-
532284,TCFCFINQ,TCFC FINANCE LTD.,24 Jul 2014,Dividend - Rs. - 1.5000,-,28 Jul 2014,01 Aug 2014,21 Jul 2014,25 Jul 2014,-
532538,ULTRACEMCO,ULTRATECH CEMENT LTD.,24 Jul 2014,Dividend - Rs. - 9.0000,-,26 Jul 2014,06 Aug 2014,21 Jul 2014,24 Jul 2014,-
526586,WIMPLAST,WIM PLAST LTD.-$,24 Jul 2014,Final Dividend - Rs. - 9.0000,-,28 Jul 2014,09 Aug 2014,21 Jul 2014,25 Jul 2014,-
500020,BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,25 Jul 2014,Dividend - Rs. - 0.8000,-,30 Jul 2014,08 Aug 2014,22 Jul 2014,28 Jul 2014,-
532929,BRIGADE,BRIGADE ENTERPRISES LTD.,25 Jul 2014,Dividend - Rs. - 2.0000,-,29 Jul 2014,05 Aug 2014,22 Jul 2014,25 Jul 2014,-
523708,EIMCOELECO,EIMCO ELECON (INDIA) LTD.,25 Jul 2014,Dividend - Rs. - 4.0000,-,30 Jul 2014,05 Aug 2014,22 Jul 2014,28 Jul 2014,-
504028,GEE,GEE LTD.,25 Jul 2014,Dividend - Rs. - 0.3000,-,30 Jul 2014,02 Aug 2014,22 Jul 2014,28 Jul 2014,-
505255,GMM,GMM PFAUDLER LTD.,25 Jul 2014,Interim Dividend - Rs. - 0.7000,28 Jul 2014,-,-,21 Jul 2014,25 Jul 2014,20 Aug 2014
509488,GRAPHITE,GRAPHITE INDIA LTD.,25 Jul 2014,Dividend - Rs. - 3.5000,-,29 Jul 2014,12 Aug 2014,22 Jul 2014,25 Jul 2014,26 Aug 2014
